RunID, SOIL_ID, COKEY, CROPNAME, YLDUNITS, NONIRRYIELD_L, NONIRRYIELD_R, NONIRRYIELD_H
12, 68302, 23874641, Alfalfa hay, Tons, , , 
12, 68302, 23874641, Corn, Bu, , , 
12, 68302, 23874641, Dry beans, Bu, , , 
12, 68302, 23874641, Dry peas, Lbs, , , 
12, 68302, 23874641, Grass-legume hay, Tons, , , 
12, 68302, 23874641, Irish potatoes, Cwt, , , 
12, 68302, 23874641, Winter wheat, Bu, , 15, 
14, 699619, 23887061, Barley, Bu, , 35, 
14, 699619, 23887061, Spring wheat, Bu, , 30, 
14, 699619, 23887061, Winter wheat, Bu, , 20, 
15, 482128, 24520209, Alfalfa hay, Tons, , , 
15, 482128, 24520209, Barley, Bu, , , 
15, 482128, 24520209, Pasture, AUM, , , 
18, 68302, 23874641, Alfalfa hay, Tons, , , 
18, 68302, 23874641, Corn, Bu, , , 
18, 68302, 23874641, Dry beans, Bu, , , 
18, 68302, 23874641, Dry peas, Lbs, , , 
18, 68302, 23874641, Grass-legume hay, Tons, , , 
18, 68302, 23874641, Irish potatoes, Cwt, , , 
18, 68302, 23874641, Winter wheat, Bu, , 15, 
20, 699619, 23887061, Barley, Bu, , 35, 
20, 699619, 23887061, Spring wheat, Bu, , 30, 
20, 699619, 23887061, Winter wheat, Bu, , 20, 
21, 482128, 24520209, Alfalfa hay, Tons, , , 
21, 482128, 24520209, Barley, Bu, , , 
21, 482128, 24520209, Pasture, AUM, , , 
24, 68302, 23874641, Alfalfa hay, Tons, , , 
24, 68302, 23874641, Corn, Bu, , , 
24, 68302, 23874641, Dry beans, Bu, , , 
24, 68302, 23874641, Dry peas, Lbs, , , 
24, 68302, 23874641, Grass-legume hay, Tons, , , 
24, 68302, 23874641, Irish potatoes, Cwt, , , 
24, 68302, 23874641, Winter wheat, Bu, , 15, 
2, 699619, 23887061, Barley, Bu, , 35, 
2, 699619, 23887061, Spring wheat, Bu, , 30, 
2, 699619, 23887061, Winter wheat, Bu, , 20, 
3, 482128, 24520209, Alfalfa hay, Tons, , , 
3, 482128, 24520209, Barley, Bu, , , 
3, 482128, 24520209, Pasture, AUM, , , 
6, 68302, 23874641, Alfalfa hay, Tons, , , 
6, 68302, 23874641, Corn, Bu, , , 
6, 68302, 23874641, Dry beans, Bu, , , 
6, 68302, 23874641, Dry peas, Lbs, , , 
6, 68302, 23874641, Grass-legume hay, Tons, , , 
6, 68302, 23874641, Irish potatoes, Cwt, , , 
6, 68302, 23874641, Winter wheat, Bu, , 15, 
8, 699619, 23887061, Barley, Bu, , 35, 
8, 699619, 23887061, Spring wheat, Bu, , 30, 
8, 699619, 23887061, Winter wheat, Bu, , 20, 
9, 482128, 24520209, Alfalfa hay, Tons, , , 
9, 482128, 24520209, Barley, Bu, , , 
9, 482128, 24520209, Pasture, AUM, , , 
